 
****************************************
Report : area
Design : lenet
Version: R-2020.09-SP5
Date   : Sun Apr 19 11:53:43 2026
****************************************

Library(s) Used:

    slow (File: /home/m110/m110061644/synopsys_tech_file/slow.db)

Number of ports:                        10593
Number of nets:                         32669
Number of cells:                        18533
Number of combinational cells:          16920
Number of sequential cells:              1178
Number of macros/black boxes:               0
Number of buf/inv:                       2682
Number of references:                     234

Combinational area:             258800.883798
Buf/Inv area:                     9960.343054
Noncombinational area:           31074.302298
Macro/Black Box area:                0.000000
Net Interconnect area:      undefined  (No wire load specified)

Total cell area:                289875.186095
Total area:                 undefined

Hierarchical area distribution
------------------------------

                                  Global cell area              Local cell area
                                  --------------------  ------------------------------- 
Hierarchical cell                 Absolute     Percent  Combi-       Noncombi-   Black-
                                  Total        Total    national     national    boxes   Design
gen_macs[1].mac                     3062.1097      1.1       0.0000      0.0000  0.0000  MAC_38
gen_macs[1].mac/add_1305             595.7874      0.2     595.7874      0.0000  0.0000  MAC_38_DW01_add_0_DW01_add_41
gen_macs[1].mac/mult_1304           2466.3223      0.9    2198.1331      0.0000  0.0000  MAC_38_DW02_mult_0_DW02_mult_3
gen_macs[1].mac/mult_1304/FS_1       268.1892      0.1     268.1892      0.0000  0.0000  MAC_38_DW01_add_1_DW01_add_42
gen_macs[20].mac                    3062.1097      1.1       0.0000      0.0000  0.0000  MAC_19
gen_macs[20].mac/add_1305            595.7874      0.2     595.7874      0.0000  0.0000  MAC_19_DW01_add_0_DW01_add_69
gen_macs[20].mac/mult_1304          2466.3223      0.9    2198.1331      0.0000  0.0000  MAC_19_DW02_mult_0_DW02_mult_17
gen_macs[20].mac/mult_1304/FS_1      268.1892      0.1     268.1892      0.0000  0.0000  MAC_19_DW01_add_1_DW01_add_70
gen_macs[21].mac                    3062.1097      1.1       0.0000      0.0000  0.0000  MAC_18
gen_macs[21].mac/add_1305            595.7874      0.2     595.7874      0.0000  0.0000  MAC_18_DW01_add_0_DW01_add_71
gen_macs[21].mac/mult_1304          2466.3223      0.9    2198.1331      0.0000  0.0000  MAC_18_DW02_mult_0_DW02_mult_18
gen_macs[21].mac/mult_1304/FS_1      268.1892      0.1     268.1892      0.0000  0.0000  MAC_18_DW01_add_1_DW01_add_72
gen_macs[22].mac                    3062.1097      1.1       0.0000      0.0000  0.0000  MAC_17
gen_macs[22].mac/add_1305            595.7874      0.2     595.7874      0.0000  0.0000  MAC_17_DW01_add_0_DW01_add_75
gen_macs[22].mac/mult_1304          2466.3223      0.9    2198.1331      0.0000  0.0000  MAC_17_DW02_mult_0_DW02_mult_20
gen_macs[22].mac/mult_1304/FS_1      268.1892      0.1     268.1892      0.0000  0.0000  MAC_17_DW01_add_1_DW01_add_76
gen_macs[23].mac                    3062.1097      1.1       0.0000      0.0000  0.0000  MAC_16
gen_macs[23].mac/add_1305            595.7874      0.2     595.7874      0.0000  0.0000  MAC_16_DW01_add_0_DW01_add_81
gen_macs[23].mac/mult_1304          2466.3223      0.9    2198.1331      0.0000  0.0000  MAC_16_DW02_mult_0_DW02_mult_23
gen_macs[23].mac/mult_1304/FS_1      268.1892      0.1     268.1892      0.0000  0.0000  MAC_16_DW01_add_1_DW01_add_82
gen_macs[24].mac                    3062.1097      1.1       0.0000      0.0000  0.0000  MAC_15
gen_macs[24].mac/add_1305            595.7874      0.2     595.7874      0.0000  0.0000  MAC_15_DW01_add_0_DW01_add_89
gen_macs[24].mac/mult_1304          2466.3223      0.9    2198.1331      0.0000  0.0000  MAC_15_DW02_mult_0_DW02_mult_27
gen_macs[24].mac/mult_1304/FS_1      268.1892      0.1     268.1892      0.0000  0.0000  MAC_15_DW01_add_1_DW01_add_90
gen_macs[25].mac                    3062.1097      1.1       0.0000      0.0000  0.0000  MAC_14
gen_macs[25].mac/add_1305            595.7874      0.2     595.7874      0.0000  0.0000  MAC_14_DW01_add_0_DW01_add_73
gen_macs[25].mac/mult_1304          2466.3223      0.9    2198.1331      0.0000  0.0000  MAC_14_DW02_mult_0_DW02_mult_19
gen_macs[25].mac/mult_1304/FS_1      268.1892      0.1     268.1892      0.0000  0.0000  MAC_14_DW01_add_1_DW01_add_74
gen_macs[26].mac                    3062.1097      1.1       0.0000      0.0000  0.0000  MAC_13
gen_macs[26].mac/add_1305            595.7874      0.2     595.7874      0.0000  0.0000  MAC_13_DW01_add_0_DW01_add_77
gen_macs[26].mac/mult_1304          2466.3223      0.9    2198.1331      0.0000  0.0000  MAC_13_DW02_mult_0_DW02_mult_21
gen_macs[26].mac/mult_1304/FS_1      268.1892      0.1     268.1892      0.0000  0.0000  MAC_13_DW01_add_1_DW01_add_78
gen_macs[27].mac                    3062.1097      1.1       0.0000      0.0000  0.0000  MAC_12
gen_macs[27].mac/add_1305            595.7874      0.2     595.7874      0.0000  0.0000  MAC_12_DW01_add_0_DW01_add_83
gen_macs[27].mac/mult_1304          2466.3223      0.9    2198.1331      0.0000  0.0000  MAC_12_DW02_mult_0_DW02_mult_24
gen_macs[27].mac/mult_1304/FS_1      268.1892      0.1     268.1892      0.0000  0.0000  MAC_12_DW01_add_1_DW01_add_84
gen_macs[28].mac                    3062.1097      1.1       0.0000      0.0000  0.0000  MAC_11
gen_macs[28].mac/add_1305            595.7874      0.2     595.7874      0.0000  0.0000  MAC_11_DW01_add_0_DW01_add_91
gen_macs[28].mac/mult_1304          2466.3223      0.9    2198.1331      0.0000  0.0000  MAC_11_DW02_mult_0_DW02_mult_28
gen_macs[28].mac/mult_1304/FS_1      268.1892      0.1     268.1892      0.0000  0.0000  MAC_11_DW01_add_1_DW01_add_92
gen_macs[29].mac                    3062.1097      1.1       0.0000      0.0000  0.0000  MAC_10
gen_macs[29].mac/add_1305            595.7874      0.2     595.7874      0.0000  0.0000  MAC_10_DW01_add_0_DW01_add_97
gen_macs[29].mac/mult_1304          2466.3223      0.9    2198.1331      0.0000  0.0000  MAC_10_DW02_mult_0_DW02_mult_31
gen_macs[29].mac/mult_1304/FS_1      268.1892      0.1     268.1892      0.0000  0.0000  MAC_10_DW01_add_1_DW01_add_98
gen_macs[2].mac                     3062.1097      1.1       0.0000      0.0000  0.0000  MAC_37
gen_macs[2].mac/add_1305             595.7874      0.2     595.7874      0.0000  0.0000  MAC_37_DW01_add_0_DW01_add_47
gen_macs[2].mac/mult_1304           2466.3223      0.9    2198.1331      0.0000  0.0000  MAC_37_DW02_mult_0_DW02_mult_6
gen_macs[2].mac/mult_1304/FS_1       268.1892      0.1     268.1892      0.0000  0.0000  MAC_37_DW01_add_1_DW01_add_48
gen_macs[30].mac                    3062.1097      1.1       0.0000      0.0000  0.0000  MAC_9
gen_macs[30].mac/add_1305            595.7874      0.2     595.7874      0.0000  0.0000  MAC_9_DW01_add_0_DW01_add_79
gen_macs[30].mac/mult_1304          2466.3223      0.9    2198.1331      0.0000  0.0000  MAC_9_DW02_mult_0_DW02_mult_22
gen_macs[30].mac/mult_1304/FS_1      268.1892      0.1     268.1892      0.0000  0.0000  MAC_9_DW01_add_1_DW01_add_80
gen_macs[31].mac                    3062.1097      1.1       0.0000      0.0000  0.0000  MAC_8
gen_macs[31].mac/add_1305            595.7874      0.2     595.7874      0.0000  0.0000  MAC_8_DW01_add_0_DW01_add_85
gen_macs[31].mac/mult_1304          2466.3223      0.9    2198.1331      0.0000  0.0000  MAC_8_DW02_mult_0_DW02_mult_25
gen_macs[31].mac/mult_1304/FS_1      268.1892      0.1     268.1892      0.0000  0.0000  MAC_8_DW01_add_1_DW01_add_86
gen_macs[32].mac                    3062.1097      1.1       0.0000      0.0000  0.0000  MAC_7
gen_macs[32].mac/add_1305            595.7874      0.2     595.7874      0.0000  0.0000  MAC_7_DW01_add_0_DW01_add_93
gen_macs[32].mac/mult_1304          2466.3223      0.9    2198.1331      0.0000  0.0000  MAC_7_DW02_mult_0_DW02_mult_29
gen_macs[32].mac/mult_1304/FS_1      268.1892      0.1     268.1892      0.0000  0.0000  MAC_7_DW01_add_1_DW01_add_94
gen_macs[33].mac                    3062.1097      1.1       0.0000      0.0000  0.0000  MAC_6
gen_macs[33].mac/add_1305            595.7874      0.2     595.7874      0.0000  0.0000  MAC_6_DW01_add_0_DW01_add_99
gen_macs[33].mac/mult_1304          2466.3223      0.9    2198.1331      0.0000  0.0000  MAC_6_DW02_mult_0_DW02_mult_32
gen_macs[33].mac/mult_1304/FS_1      268.1892      0.1     268.1892      0.0000  0.0000  MAC_6_DW01_add_1_DW01_add_100
gen_macs[34].mac                    3062.1097      1.1       0.0000      0.0000  0.0000  MAC_5
gen_macs[34].mac/add_1305            595.7874      0.2     595.7874      0.0000  0.0000  MAC_5_DW01_add_0_DW01_add_103
gen_macs[34].mac/mult_1304          2466.3223      0.9    2198.1331      0.0000  0.0000  MAC_5_DW02_mult_0_DW02_mult_34
gen_macs[34].mac/mult_1304/FS_1      268.1892      0.1     268.1892      0.0000  0.0000  MAC_5_DW01_add_1_DW01_add_104
gen_macs[35].mac                    3062.1097      1.1       0.0000      0.0000  0.0000  MAC_4
gen_macs[35].mac/add_1305            595.7874      0.2     595.7874      0.0000  0.0000  MAC_4_DW01_add_0_DW01_add_87
gen_macs[35].mac/mult_1304          2466.3223      0.9    2198.1331      0.0000  0.0000  MAC_4_DW02_mult_0_DW02_mult_26
gen_macs[35].mac/mult_1304/FS_1      268.1892      0.1     268.1892      0.0000  0.0000  MAC_4_DW01_add_1_DW01_add_88
